Location,Trailer Id,Owner,Hours,Type,Status,Load,Notes
400 TURN AROUND,451502,OTHER,28.86352055556244,TRAILER,EMPTY,,
PS105 LIVES,2125,OTHR,1.085465833346049,TRAILER_SKIRTED,FULL,257033833,
PS105 LIVES,53148,HYLG,1.7096325000127157,TRAILER,FULL,256683833,
DD106 NON-SLIPS,5266,OTHR,21.158521388901605,TRAILER,EMPTY,,ISA 257570833  
DD106 NON-SLIPS,282800,AACT,219.38129916667938,TRAILER_PUP_SKIRT,FULL,,1/3 Full, Pallets on canopy downstack ISA-252102833Freight Rejection - Case 6470187011Next to E09
DD106 NON-SLIPS,282284,AACT,474.2235216666592,TRAILER_PUP_SKIRT,PAUSED,,ISA 243046833 Returned 9/14/19cannot open the doorNext to E04
DD106 NON-SLIPS,453197,FDEG,67.42546611110369,TRAILER_PUP,FULL,256689833,50% parcel/314 A
DD106 NON-SLIPS,280813,AACT,191.13463277777035,TRAILER_PUP,FULL,252168833,Case 6470223561, cannot open door, freight pushed against it PS411B
DD106 NON-SLIPS,282451,AACT,11.584910555548138,TRAILER_PUP,EMPTY,,NEXT TO W09
DD106 NON-SLIPS,34451,FDEG,54.88074388888147,TRAILER_PUP,FULL,256966833, Next to E09
DD107 OUT OF LOCATION,5034,RLB1,2.131021666659249,TRAILER,FULL,256893833,
DD107 OUT OF LOCATION,930729,UPGF,105.80435499999258,TRAILER,EMPTY,,Mis-ships See Case for removal 6480735701
DD107 OUT OF LOCATION,amztl3713,EXLA,27.11463277777036,TRAILER,EMPTY,,
DD107 OUT OF LOCATION,492301,ODFL,9.79102166665925,TRAILER,EMPTY,,
DD107 OUT OF LOCATION,931202,UPGF,70.83324388888147,TRAILER,EMPTY,,Case for removal 6480735701
DD107 OUT OF LOCATION,843958,UPSS,46.8965772222148,TRAILER_SKIRTED,EMPTY,,
DD107 OUT OF LOCATION,W85132,OTHR,34.17241055554814,TRAILER_SKIRTED,EMPTY,,
DD107 OUT OF LOCATION,34601,FDEG,46.11463277777036,TRAILER_PUP,FULL,256967833,ps352
DD117,V521790,AZNG,3.676021666659249,TRAILER_SKIRTED,FULL,114815R3Y,Non-Inventory Empty Yellow Totes
DD118,100712,SWIF,3.780188333325916,TRAILER_INTERMODAL,FULL,112QMMZ8H,Non-Inventory Empty Yellow Totes
DD119,SNLU139113,SCDS,6.286299722194672,TRAILER_INTERMODAL,FULL,115BRYXYK,Non-Inventory Empty Yellow Totes
DD123,723962,UPSS,28.383244166639116,TRAILER,FULL,257293833,
DD124,841612,UPSS,70.74685527775023,TRAILER,FULL,256416833,100% parcel
DD125,V505413,AZNG,4.85768861108356,TRAILER,FULL,256154833,
DD126,530341,CTII,8.86157749997245,TRAILER_SKIRTED,FULL,256991833,
DD127,V505742,AZNG,57.982410833305785,TRAILER_SKIRTED,FULL,255273833,
DD128,558515,RDWY,24.077133055528005,TRAILER,FULL,254688833,
PS129,318,UFLB,3.821855277750227,TRAILER,FULL,257302833,
DD130,6058,TPQL,5.016299722194671,TRAILER,FULL,256634833,
DD131,53528,GLOL,6.96518861108356,TRAILER_SKIRTED,FULL,256904833,
DD132,2936,OTHR,7.649633055528005,TRAILER_SKIRTED,FULL,256625833,
DD133,w32338,OTHR,7.665466388861338,TRAILER_SKIRTED,FULL,256637833,
DD134,538493,DSPTP,9.078799722194672,TRAILER,FULL,256636833,
DD228,V508385,AZNG,50.88268861108356,TRAILER_SKIRTED,FULL,255274833,50% palletized
DD229,V505370,AZNG,5.823244166639116,TRAILER_SKIRTED,FULL,256675833,706
DD230,282785,AACT,11.656021944416894,TRAILER_PUP,FULL,255271833,354 
PS231 LIVE STAGING,53r18250,OTHER,3.511855277750227,TRAILER_SKIRTED,FULL,256889833,
DD234,748426,UPSS,16.82268861108356,TRAILER,FULL,257357833,725
DD235,V507694,AZNG,7.447966388861338,TRAILER_SKIRTED,FULL,256964833,
DD236,180431,UPSS,14.635466388861339,TRAILER_SKIRTED,FULL,257535833,
DD237,P5180219,DMWL,3.3940774999724495,TRAILER_SKIRTED,FULL,257957833,
DD238,703368,UPSS,26.16129972219467,TRAILER,FULL,257356833,
PS241 Good Wood,V507925,AZNG,6.930466388861339,TRAILER_SKIRTED,FULL,256970833,
PS243,1095220,IMPIC,82.5910219444169,TRAILER_PUP_INTERMODAL,EMPTY,,RED TAGGEDRED TAGGED BY: StevareyCASE # 6482237891 ISSUE: LOSING AIR PRESSUREUpdated case 10/2
PS244,717568,UPSS,19.25241083330578,TRAILER,FULL,257353833,
PS309,839423,UPSS,25.063799722194673,TRAILER_SKIRTED,FULL,256921833,
PS310,112,ARVY,2.9810219444168937,TRAILER,FULL,256627833,
PS313,180810,UPSS,23.936021944416893,TRAILER_SKIRTED,FULL,257327833,
PS314,180338,UPSS,10.06657749997245,TRAILER_SKIRTED,FULL,257864833,314
PS317,V508903,AZNG,58.18241083330578,TRAILER_SKIRTED,FULL,256671833,
PS319,876751,UPSS,71.0860219444169,TRAILER,FULL,,MISSHIPS
PS320,463511,UPSS,21.95379972219467,TRAILER,FULL,256842833,
PS323,140018,KIMG7,7.339633055528005,TRAILER,FULL,257903833,Live staged in yard
PS327,34919,FDEG,23.31518861108356,TRAILER_PUP,FULL,257469833,Front
PS327,36096,FDEG,24.41907749997245,TRAILER_PUP,FULL,257472833,
PS328A,837403,UPSS,30.444355277750226,TRAILER_SKIRTED,FULL,257292833,328A
PS330,281486,AACT,24.24629972219467,TRAILER_PUP_SKIRT,FULL,255249833,
PS335,844421,UPSS,69.35046638886134,TRAILER_SKIRTED,FULL,256712833,95% parcel
PS336,839787,UPSS,23.023244166639117,TRAILER_SKIRTED,FULL,257274833,
PS337,837360,UPSS,18.672966388861337,TRAILER_SKIRTED,FULL,257433833,337
PS338,V562945,AZNG,221.634633055528,TRAILER_SKIRTED,FULL,253016833,
PS339,9311011,UPGF,46.369633055528006,TRAILER,FULL,,339 MISSHIPS
PS340A,V502046,AZNG,2.2851886110835604,TRAILER_SKIRTED,FULL,111F8RHPV,Non-inventory Empty Yellow Totes
PS340B Pup Only,453858,FDEG,30.098521944416895,TRAILER_PUP,FULL,257406833,
PS340B Pup Only,450097,FDEG,22.08657749997245,TRAILER_PUP,FULL,257471833,Front
PS341,35680,FDEG,43.82102194441689,TRAILER_PUP,FULL,257045833,341 front
PS341,457180,FDEG,43.82102194441689,TRAILER_PUP,FULL,257042833,50% parcel 
PS343,959266,FDEG,46.7835219444169,TRAILER_SKIRTED,FULL,257044833,50% parcel
PS344,870038,UPSS,7.34768861108356,TRAILER,FULL,257816833,
PS347,849610,UPSS,51.501855277750224,TRAILER_SKIRTED,FULL,256809833,prindle hook reject.
PS352,533517,CTII,239.67407749997244,TRAILER_SKIRTED,FULL,,352 4 mis-ship pallets/ See Case for removal 6480800221
PS352A,843091,UPSS,22.554910833305783,TRAILER_SKIRTED,FULL,257140833,
PS353,181688,UPSS,12.345466388861338,TRAILER_SKIRTED,FULL,257840833,353
PS357,839669,UPSS,25.554355277750226,TRAILER_SKIRTED,FULL,257174833,
PS418,9151166,IMPIC,11.985744166639115,TRAILER_INTERMODAL,FULL,256514833,Driver coaching case # 6485290031    
PS422,V501963,AZNG,28.236577499972448,TRAILER_SKIRTED,FULL,255458833,
PS436,290516,AZNG,23.72768861108356,TRAILER,EMPTY,,HJBT
PS436A,KR210523,DVCE,18.523244166639117,TRAILER,FULL,256673833,
PS503,181117,UPSS,37.386021944416896,TRAILER_SKIRTED,FULL,257012833,100% parcel 
PS504,871191,UPSS,52.11018861108356,TRAILER,FULL,256886833,90% parcel
PS505,721949,UPSS,70.5560219444169,TRAILER,FULL,256696833,100% parcel
PS507,181335,UPSS,60.65129972219467,TRAILER_SKIRTED,FULL,256876833,85% parcel
PS511,V509637,AZNG,0.927133055528005,TRAILER_SKIRTED,FULL,256314833,
PS512,874578,UPSS,21.297966388861337,TRAILER_SKIRTED,FULL,257275833,
PS515,844379,UPSS,42.461299722194674,TRAILER_SKIRTED,FULL,256979833,100% parcel 
PS516,293634,HJBI,143.1357441666391,TRAILER_INTERMODAL,FULL,253863833,100% palletized ...freight on door
PS519,V501622,AZNG,77.06657749997245,TRAILER_SKIRTED,PAUSED,256529833,
PS521,723927,UPSS,28.069633055528005,TRAILER,FULL,257258833,
PS522,877406,UPSS,31.57879972219467,TRAILER_SKIRTED,FULL,257259833,100% parcel 
PS524,877821,UPSS,8.243521944416894,TRAILER_SKIRTED,FULL,257813833,
PS525,V561185,AZNG,33.73824416663911,TRAILER_SKIRTED,FULL,255457833,
PS526,871539,UPSS,9.974077499972449,TRAILER,FULL,257766833,
PS528,757396,UPSS,6.004910833305782,TRAILER,FULL,257812833,
PS529,V510957,AZNG,120.54907749997246,TRAILER_SKIRTED,FULL,257430833,Deleted ISA 254339833INBOUND LOADED TRAILERMOVE TO MAIN YARD
PS531,843787,UPSS,23.44046638886134,TRAILER_SKIRTED,FULL,257352833,
PS532,840119,UPSS,30.42046638886134,TRAILER_SKIRTED,FULL,257395833,
